ff2f702e-fe9b-4d2b-b3ae-33e325f06f0e,KATOWICE,1825 Eagan Road
92b2cf73-c798-455f-a2fa-59546d252b80,WROCLAW,08 6th Pass
809e7c86-85be-47cf-bfcb-249d087dbb1e,TORUN,5930 Brown Point
36b38bc7-fec4-495d-b365-41f6dc771e83,WARSZAWA,68 Artisan Place
5ebb4fb5-0133-4ad2-a1b3-ec8054f95a77,ZIELONA GORA,0520 Merrick Hill
6589c1ab-1db5-4ad3-b503-5a3e87103387,BIAŁYSTOK,00 Mandrake Alley
6f4c5429-efbc-407a-a5c6-7595c9a97357,OLSZTYN,537 Novick Crossing
e286ee5d-0194-4302-b923-a753032f76ec,OPOLE,7935 Gale Plaza
f22f5bb7-201d-4430-8ad6-25f04926b36a,POZNAN,01278 Elmside Terrace
427d28b1-6936-4fba-a917-bee991d9c10b,GORZOW WIELKOPOLSKI,552 South Road
587f2357-a0ee-4deb-834b-e4c8909c71e7,SZCZECIN,084 Mcbride Crossing
ef70180a-3290-4ca4-b1b4-cf3644c13085,KIELCE,38808 Clemons Alley
f24ce80f-27e0-436c-a5ab-fd01aad2106a,LODZ,9354 Cambridge Trail
b8b6715f-a52a-4066-b857-2a0b4d4a19b0,RZESZOW,0 Memorial Pass
aa1cf19e-50fe-46aa-a3b1-07b09ad10b60,LUBLIN,750 Barnett Court
cfc1cea5-0dc9-4ffb-b162-76a8bc2dbe1b,GDANSK,2205 Southridge Plaza
8c82305c-7e1f-4ce0-a7c0-2aac97e01ed6,BYDGOSZCZ,09 Donald Way
