8f8fc4b8-0080-4435-99d4-0d21986eb138,POLAND,TORUN,22 Longview Way
a15359bb-da01-4afc-b469-e4247362e36c,POLAND,GORZOW WIELKOPOLSKI,1 Havey Trail
813f43ff-2625-4ef1-baff-a65bd7385f3a,POLAND,BIAŁYSTOK,59018 Commercial Road
6988fd45-2c10-4a5c-b465-4302953f6215,POLAND,BYDGOSZCZ,45 Norway Maple Point
0bf5fc78-245b-44b2-85ab-bda27fb2da60,POLAND,SZCZECIN,56 Manley Lane
bb1384c8-9f00-4f4b-97e0-c4a4107aa534,POLAND,OLSZTYN,44875 Pleasure Trail
a4493834-7adb-44cb-bb12-837368d7ce31,POLAND,KIELCE,23694 Westerfield Way
c9e95b63-2837-4331-b7a9-a5d412f62e41,POLAND,WROCLAW,1 Bonner Junction
db4974b4-b60b-4e32-ade8-75e87396acd5,POLAND,POZNAN,2 Crowley Trail
f035b9b9-665c-4228-8380-9832bfbcb9c7,POLAND,OPOLE,85 Shoshone Place
f422018c-13ab-4274-8608-fd9897a2dd7c,POLAND,ZIELONA GORA,352 Southridge Drive
4ce1ec26-9f54-4b85-a2be-bb90883ce950,POLAND,GDANSK,6 Forest Dale Way
43ce196a-157c-4561-a9dc-60d4c998c216,POLAND,KATOWICE,8793 Meadow Valley Circle
c69e24ca-8aa8-45ab-952c-699d652bcc5f,POLAND,WARSZAWA,06 Glendale Court
79b8e415-6a01-4b40-8da2-ea08ed4a70f2,POLAND,LUBLIN,12 Rusk Court
15148c53-b71c-4d90-bbce-f06f411fc1cc,POLAND,RZESZOW,11 West Road
db855055-5fee-4257-b955-0a0ff5445546,POLAND,LODZ,22 Onsgard Terrace
