76c90e52-eb83-449b-b17a-baea6bdf859d,5050.0,1161.5,30.0
57d669d7-b2e0-4b1c-a193-e77025eb4339,858.0,197.34,20.0
4bffffa1-621b-4931-b5ab-9ee1e947d8f7,5294.0,1217.62,30.0
e1838fc7-8647-4dcb-a89e-82c1ce0d90ba,4304.0,989.92,30.0
cb33ceb1-8655-4657-a34b-0d0765a23a40,4164.0,957.72,30.0
d4bd2b9e-3b00-4b33-a692-fbd7a9f151c0,1271.0,292.33,30.0
3d4f6acb-3e48-4b2d-bda1-c3c1e9fe23ed,1549.0,356.27,30.0
e638181d-1a98-48f8-9f35-2b587a9854ff,749.0,172.27,20.0
fe642156-8874-4c19-97cd-a9bfe40c20bb,5312.0,1221.76,30.0
a4aafe12-a7cf-4eac-b17e-bdcd586bc120,3224.0,741.52,30.0
d9d530ea-74fc-4acb-a86e-cf420732b6ed,1538.0,353.74,30.0
24911bf4-9dfd-47c6-8931-83a3a300ff01,3124.0,718.52,30.0
a9bedd39-642d-4886-9d33-76de7004b3e9,3392.0,780.16,30.0
57aa061c-2bd4-4312-ab0b-51c7a6105419,3914.0,900.22,30.0
fcd6163e-bfd8-48a6-aecc-3917acf5b7b9,3447.0,792.81,30.0
b3678adf-ab59-40fd-8e59-41d54c5ad74e,3797.0,873.31,30.0
eb0a45c9-a730-481f-a94c-6bd844266ec9,4834.0,1111.82,30.0
42d95685-a519-4435-9f3d-24f773312081,3681.0,846.63,30.0
a3530ac7-6196-43e0-b68f-0d58c34bf0d8,3444.0,792.12,30.0
bcdc95dc-da50-47ef-91f6-ae159fe21356,2564.0,589.72,30.0
7a10f1e3-a719-4e0b-8033-05ebb5079735,2025.0,465.75,30.0
706632b4-3c11-4b17-862b-ab3819e0f4c0,1632.0,375.36,30.0
391f0a25-90cb-422d-b278-dfa07459eff5,2104.0,483.92,30.0
ad88b3f8-bb25-46fd-858f-727a7eb4454b,2147.0,493.81,30.0
e65f195c-caba-424c-86aa-df9b4b07d5a2,2302.0,529.46,30.0
0a055e30-071a-4396-919f-81035f54fc8b,1639.0,376.97,30.0
dc40e585-1ce7-43e9-8745-f147f4d9f555,2451.0,563.73,30.0
7efc553f-34b0-4d19-8227-7c5da72938f8,4250.0,977.5,30.0
f43ac86e-bf0f-4207-a988-f896fa22f98a,5068.0,1165.64,30.0
61b449ce-7d3a-4ef9-8a3e-35dae1b6a3eb,1055.0,242.65,30.0
df5afc79-5c23-47d2-9814-8820314a4a94,3431.0,789.13,30.0
2e99d32d-2b19-405e-8443-04feedf8c994,5835.0,1342.05,30.0
145b13c9-e89c-447c-81bf-02fde057dc5d,1880.0,432.4,30.0
033b6276-11cc-4010-ae52-1a1e64015157,3783.0,870.09,30.0
2ebe84d9-ec87-4c21-8254-1c8eaced07ef,3349.0,770.27,30.0
5850b007-c388-4de9-a0d0-d64bdd118348,2936.0,675.28,30.0
570652a5-6387-46ec-9c53-1f45f04e294e,3553.0,817.19,30.0
337ff755-fff1-4d20-819f-fa5a01d97bf3,1330.0,305.9,30.0
08b6d182-9830-4188-b3ff-27c075ffdf62,2256.0,518.88,30.0
8c420788-eb8d-486a-b651-d58c930842c7,4908.0,1128.84,30.0
321b65f8-8fed-4c37-800a-abdb2d9da955,6340.0,1458.2,30.0
a8a85fa8-2993-4245-a7aa-e4daf047521a,3595.0,826.85,30.0
15ecd7fd-4e22-48af-8b43-b1b76250bf42,4663.0,1072.49,30.0
a0bef8f6-ab12-4494-8e8a-75e40545f4df,4722.0,1086.06,30.0
4cfef89e-3fe4-444d-861b-0f3df57358a8,3158.0,726.34,30.0
1526b93f-ceb5-433d-8032-c7047ad6a8bc,6195.0,1424.85,30.0
a586f678-53ab-4ea8-8bfc-d07b516ec396,1363.0,313.49,30.0
2772e753-bb60-420f-8d11-c84b0033250d,1124.0,258.52,30.0
