497f218f-8e0f-4c0b-8339-c106ab3bad5d,PRZELEW
9605a3b1-d022-4bde-97d8-b1bee0e2085b,PAYPAL
d8ce2960-cbc9-4f32-941c-9c343a838730,BITCOIN
d6b6e9cd-1808-4920-84f2-a9883b02c4e5,BITCOIN
3eda7d8f-ec70-4d4e-b528-690c02de34a0,PRZELEW
f4375149-834c-448b-86cb-08d3988319fb,PAYPAL
ae85503f-6062-48ec-9839-1d24473f72b9,BITCOIN
71d2ec64-0d62-47ae-80b4-59f319879e53,PAYPAL
3819b6ac-ac17-493f-9e3b-e992c07da372,PAYPAL
8788d96c-6cf7-42be-89bd-473b68d1032e,PRZELEW
741f7e32-1899-400a-ba17-bed29e7959f9,BON
8fd6aa50-84c7-4ce2-a9e9-dd5f73defd72,PRZELEW
ee3b8b27-818c-4832-943c-1e49cc93e138,BON
b2c4ac2b-3ecc-4794-8daa-a972c1fe0048,BON
0e5668d1-ac73-4ae6-8aff-1327e0100ace,PAYPAL
89c8a0f6-48c4-46fe-9f5a-74db2a4b2927,BITCOIN
24fcc7aa-2a1a-4200-9937-4d89a97ff5c7,BON
970f3617-b7cd-4855-8770-aa3ed661b140,BON
cd910ffe-67b5-45d8-a6e0-5010f0f98992,BON
e1f4ac26-3ab0-4d5c-a0ab-845c13f37b84,PRZELEW
6eedf9a7-ff56-44d7-8f1c-997be9cb244d,BON
92699900-0aa3-4b52-b8fa-8d889a5d02f0,PAYPAL
11854829-5c29-4e9c-a0ff-14a239d99660,PAYPAL
7609c40e-6653-4991-8dce-402301b2a849,BON
0f64e34e-5493-4f70-88f1-fe4b303d92d9,POBRANIOWO
3ab53490-3d5a-428f-a929-e28037c5ba5a,PAYPAL
fd386ede-cbc1-425e-ac47-1b373c87bb1d,BON
eea15726-c9f9-4cb8-8de5-871672549ea0,BITCOIN
b71d57c5-cf1e-4579-9ed9-49f100301584,POBRANIOWO
e76735ed-67e1-4ee8-845b-64442baaedd3,PAYPAL
ebeac2f9-2317-45a4-9241-c751b58b1433,POBRANIOWO
a024e296-50f4-4685-9ebd-546aea4a07e9,PRZELEW
fb6f3d2b-7dc9-4192-8f0b-1bf8778d55c2,PRZELEW
70d042a3-b74e-4bf5-8dca-fc2f2b0f02f1,BITCOIN
a40bbddd-bd99-4765-8aca-b7bbb6a1f519,BITCOIN
906a03a7-03aa-4ead-bbc9-1bf912cef82d,POBRANIOWO
b3d28ae1-0682-4cf9-a589-a46789c1342b,POBRANIOWO
057eeb76-c754-4998-adc3-3da0e0d290a7,PAYPAL
846ef1ec-195e-4675-9a2a-208c7b140d7d,PAYPAL
8b5c171e-fd90-431a-967e-2fdaa7260d04,BITCOIN
5244afdb-079d-4fe2-95de-32265f65f1ce,PAYPAL
e7f1e158-8739-4132-a68c-c3a947a31b8e,BITCOIN
